1,13.05.2019,idouglas@hotmail.com,4507 Fulton Park,6925,UNPAID
2,11.01.2019,ullrich.christine@smith.com,2 Prairieview Trail,1502,PAID
3,01.12.2018,zkrajcik@ortiz.biz,4 Larry Park,4084,UNPAID
4,24.07.2019,qkling@hotmail.com,916 Barby Way,8924,PAID
5,18.01.2018,,9 Sutteridge Parkway,9907,PAID
6,12.03.2019,haley.verna@smitham.com,0 Schiller Center,7402,PAID
7,06.11.2019,trisha49@nikolaus.com,3 Shasta Trail,3560,PAID
8,23.11.2019,louisa.waters@durgan.org,5565 Hagan Parkway,7840,UNPAID
9,11.10.2019,ppurdy@hodkiewicz.com,25817 International Circle,4363,UNPAID
10,27.01.2018,,31590 Green Ridge Drive,3500,UNPAID
11,23.06.2019,,65 Cordelia Avenue,5005,PAID
12,23.06.2019,melisa85@hotmail.com,04 Burning Wood Park,8576,UNPAID
13,06.10.2019,wpollich@gmail.com,887 Brown Crossing,7756,UNPAID
14,05.12.2019,carleton16@jakubowski.com,092 Village Green Point,7760,UNPAID
15,24.03.2018,cyrus.ohara@hoppe.net,7258 Shelley Court,3867,UNPAID
16,12.12.2019,mikel.marks@gmail.com,07 Carpenter Circle,5671,PAID
17,06.05.2019,ppurdy@hodkiewicz.com,71172 Fair Oaks Plaza,9020,UNPAID
18,21.01.2018,bebert@murphy.net,8 Kensington Lane,4294,PAID
19,23.05.2019,anna.mayert@homenick.com,9 Buell Terrace,8504,PAID
20,29.08.2018,anna.mayert@homenick.com,1042 Reindahl Alley,592,UNPAID
21,04.12.2018,anna.mayert@homenick.com,3921 Crowley Court,6862,UNPAID
22,10.05.2019,hilario.lesch@willms.org,768 Burrows Park,1125,PAID
23,17.09.2018,yherman@strosin.com,143 Melrose Park,4283,PAID
24,03.09.2018,dbogan@kessler.info,1 Elmside Place,7445,UNPAID
25,30.04.2019,,30690 Golf Course Street,5118,PAID
26,02.08.2018,ada.reynolds@quigley.net,37 Pearson Parkway,5112,PAID
27,22.11.2018,otremblay@hill.org,48 Graedel Place,261,PAID
28,01.09.2018,schuster.aiden@murray.net,49 Vera Parkway,2065,UNPAID
29,12.04.2018,lew.osinski@yahoo.com,13108 Bunker Hill Hill,4099,PAID
30,18.07.2018,hayes.ryann@gmail.com,181 Orin Crossing,3392,UNPAID
31,04.02.2019,louisa.waters@durgan.org,6387 Lillian Terrace,9123,UNPAID
32,30.07.2018,bebert@murphy.net,03 Ramsey Alley,2915,PAID
33,20.06.2018,zruecker@prohaska.com,32 Onsgard Plaza,4252,UNPAID
34,23.06.2019,melisa85@hotmail.com,64 Monterey Trail,6449,UNPAID
35,03.12.2019,hickle.florencio@borer.com,18 Village Green Circle,8796,PAID
36,17.03.2018,hschaefer@hotmail.com,570 Forest Dale Crossing,4285,UNPAID
37,13.03.2019,hilario.lesch@willms.org,589 Rowland Crossing,9630,UNPAID
38,21.09.2019,zruecker@prohaska.com,03 Gerald Junction,266,UNPAID
39,17.02.2018,dbogan@kessler.info,68 Londonderry Drive,7301,UNPAID
40,16.11.2019,lourdes.keebler@gmail.com,3073 Butternut Park,9147,UNPAID
41,10.07.2018,mills.valentina@pfeffer.com,57 Hollow Ridge Junction,9617,PAID
42,19.06.2019,wpollich@gmail.com,8 Blackbird Road,7832,UNPAID
43,08.09.2019,schuster.aiden@murray.net,,7083,UNPAID
44,29.12.2019,wpollich@gmail.com,411 Homewood Parkway,6240,UNPAID
45,01.12.2018,otremblay@hill.org,3 Merry Alley,3701,PAID
46,09.03.2018,mstanton@gmail.com,79981 Holmberg Street,8466,UNPAID
47,05.10.2018,otremblay@hill.org,,5454,PAID
48,24.12.2019,yherman@strosin.com,64666 Main Parkway,725,UNPAID
49,06.05.2018,reichel.francisca@ryan.com,54 Mccormick Park,842,UNPAID
50,23.09.2018,zkrajcik@ortiz.biz,,7508,PAID
51,27.07.2018,jadon08@gmail.com,88266 Dryden Way,7483,PAID
52,21.11.2018,goodwin.citlalli@runolfsson.com,1 South Alley,5906,PAID
53,23.06.2019,hickle.florencio@borer.com,345 Eagan Street,2904,UNPAID
54,21.10.2019,tromp.thora@hessel.com,11 Ludington Court,258,PAID
55,04.03.2018,bebert@murphy.net,77958 Haas Parkway,3647,PAID
56,08.12.2018,cyrus.ohara@hoppe.net,588 Buena Vista Point,9649,PAID
57,05.08.2018,otremblay@hill.org,66 Oriole Drive,4026,UNPAID
58,20.01.2018,haley.verna@smitham.com,72669 Fallview Crossing,719,PAID
59,15.05.2018,,63792 Helena Way,1976,PAID
60,17.12.2019,bebert@murphy.net,6 Bluejay Place,429,UNPAID
61,08.12.2018,korey.von@hotmail.com,51736 Independence Drive,2254,PAID
62,10.02.2018,ullrich.christine@smith.com,68300 Northport Pass,5082,PAID
63,14.06.2018,reichel.francisca@ryan.com,134 Myrtle Park,1308,UNPAID
64,21.01.2019,courtney.bergstrom@wisoky.com,372 Troy Drive,9414,UNPAID
65,09.08.2018,dbogan@kessler.info,,4217,UNPAID
66,24.08.2019,browe@gmail.com,50693 Del Mar Avenue,7447,PAID
67,22.10.2019,rlangosh@hotmail.com,2 Merry Place,4894,UNPAID
68,07.04.2018,,62031 Dayton Center,1338,UNPAID
69,27.03.2019,yherman@strosin.com,23 Iowa Way,5798,PAID
70,04.01.2018,streich.jaida@yahoo.com,6824 Crescent Oaks Trail,8861,UNPAID
71,02.01.2018,streich.jaida@yahoo.com,45455 Homewood Point,1599,PAID
72,10.08.2019,carleton16@jakubowski.com,434 7th Street,1936,PAID
73,21.01.2018,brandon23@gmail.com,05913 Mitchell Terrace,4510,UNPAID
74,07.03.2019,hschaefer@hotmail.com,9847 Fairview Lane,4553,PAID
75,17.02.2019,streich.jaida@yahoo.com,699 Fisk Park,3932,UNPAID
76,08.08.2018,kennedi30@feest.com,92 Fieldstone Pass,5654,UNPAID
77,27.04.2019,dbogan@kessler.info,8702 Canary Circle,3178,UNPAID
78,19.11.2018,olubowitz@stehr.info,0432 Mallard Drive,6474,UNPAID
79,03.03.2019,mills.valentina@pfeffer.com,70 Manley Crossing,1532,PAID
